pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,st_mass,pl_orbeccen,expected_eccentricity,eccentricity_for_analysis
Kepler-1988 b,Kepler-1988,Transit,11.49499989,,,1.127,,0.07472274227470575,0.07472274227470575
WASP-8 b,WASP-8,Transit,8.1587261,,,,,0.06976898911550246,0.06976898911550246
K2-138 g,K2-138,Transit,41.965443,,2.56,0.891,0.09,0.05397967098147181,0.09
EPIC 212297394 c,EPIC 212297394,Transit,5.213965,,,0.83,,0.06341384651283793,0.06341384651283793
TOI-674 b,TOI-674,Transit,1.9771642,,,0.42,,0.050525804871699,0.050525804871699
WASP-133 b,WASP-133,Transit,2.17648746975,,,,,0.0550138378544894,0.0550138378544894
Kepler-2001 c,Kepler-2001,Transit,14.0926796,0.1085,,0.856,0.0,0.08240565988191045,0.08240565988191045
TOI-4010 b,TOI-4010,Transit,1.348335,0.0229,11.0,0.88,0.03,0.040441445004209584,0.03
Kepler-314 c,Kepler-314,Transit,5.96040108,,,0.95,,0.06561936679857233,0.06561936679857233
Kepler-93 b,Kepler-93,Transit,,,,,,0.09851524064556692,0.09851524064556692
nu Oph b,nu Oph,Radial Velocity,529.93,1.765,6848.56651404,2.61,0.126,0.26155463410611596,0.126
Kepler-103 b,Kepler-103,Transit,15.9653342715,,,1.07,,0.0788909103493018,0.0788909103493018
WASP-61 b,WASP-61,Transit,3.85589655,,,,,0.06100014627055753,0.06100014627055753
TOI-2384 b,TOI-2384,Transit,2.13570304,0.02793,624.85064816,0.635,0.0,0.06663420079920306,0.06663420079920306
K2-321 b,K2-321,Transit,2.298,0.041,,0.599,,0.061408516376789846,0.061408516376789846
HAT-P-28 b,HAT-P-28,Transit,3.257215,0.0434,198.953,1.025,0.051,0.0640228574822296,0.051
TOI-2876 b,TOI-2876,Transit,6.2996307,,,,,0.06661903304793294,0.06661903304793294
TOI-7510 d,TOI-7510,Transit,48.864468,0.2672,190.0,1.063,0.04,0.09302138540988807,0.04
Kepler-1997 b,Kepler-1997,Transit,26.7575859,0.1808,,1.096,0.0,0.09123840863057947,0.09123840863057947
TOI-2427 b,TOI-2427,Transit,1.30613,,,,,0.050140297418899214,0.050140297418899214
KELT-23 A b,KELT-23 A,Transit,2.2552845,,,,,0.05536939127318635,0.05536939127318635
K2-132 b,K2-132,Transit,9.173866,,,0.984438,,0.07106366862599284,0.07106366862599284
Qatar-9 b,Qatar-9,Transit,1.540776,,,,,0.0516706106500197,0.0516706106500197
Kepler-25 b,Kepler-25,Transit,,,,,,0.09851524064556692,0.09851524064556692
HATS-14 b,HATS-14,Transit,2.76675696,,,,,0.0574551824898077,0.0574551824898077
TOI-3894 b,TOI-3894,Transit,4.3345401,0.0543,270.15414595,1.138,0.048,0.06934834557293233,0.048
K2-199 b,K2-199,Transit,3.225423,,,0.705681,,0.05744690608750057,0.05744690608750057
TOI-1174 b,TOI-1174,Transit,8.953487683,0.07994,,0.85,,0.07735274295456755,0.07735274295456755
TIC 87422071 b,TIC 87422071,Transit,11.3648628,,,,,0.07400761996900056,0.07400761996900056
HD 104985 b,HD 104985,Radial Velocity,199.505,0.95,2637.9,2.3,0.09,0.21247143225907303,0.09
K2-3 d,K2-3,Transit,44.5609,0.1833,,0.414,,0.09277586155952852,0.09277586155952852
WASP-11 b,WASP-11,Transit,3.7224747,0.0435,154.777,0.83,0.0,0.06276188384045177,0.06276188384045177
55 Cnc b,55 Cnc,Radial Velocity,14.651613,0.1102,240.0,,0.0026,0.1163526143383621,0.0026
Kepler-1126 b,Kepler-1126,Transit,108.592134787,,,1.01,,0.10962329808225459,0.10962329808225459
Kepler-865 c,Kepler-865,Transit,6.20925415,0.061,,0.782,0.0,0.07315828721068496,0.07315828721068496
GJ 1214 b,GJ 1214,Transit,1.58040464894,,,0.183607,0.0,0.045515372902636,0.045515372902636
K2-263 b,K2-263,Transit,50.818947,0.2573,14.8,0.88,0.14,0.07015428589374656,0.14
Kepler-1992 b,Kepler-1992,Transit,15.611223,0.1146,,0.821,0.0,0.08338574360669646,0.08338574360669646
HD 72659 b,HD 72659,Radial Velocity,3549.0,4.607,906.12878836,1.033,0.2393,0.2599855538928404,0.2393
TOI-4641 b,TOI-4641,Transit,22.09341,0.173,1229.99593509,1.41,0.074,0.10346915160880665,0.074
TOI-1338 b,TOI-1338 A,Transit,95.174,0.4607,33.0,1.127,0.088,0.0843165838490359,0.088
TOI-700 c,TOI-700,Transit,16.051115,,,0.416,0.078,0.0735973655363119,0.078
TOI-1136 f,TOI-1136,Transit,26.321,0.174,9.7,1.022,0.001,0.06155538392923136,0.001
Kepler-323 c,Kepler-323,Transit,3.553829671,0.0474,,1.123,0.0,0.0690451609328194,0.0690451609328194
TOI-4201 b,TOI-4201,Transit,3.5819232,0.03944,825.0,0.63,0.062,0.0738200920896698,0.062
Kepler-549 b,Kepler-549,Transit,42.9495649,0.2264,,0.839,0.0,0.09593286170880892,0.09593286170880892
xi Aql b,xi Aql,Radial Velocity,136.97,0.625,616.90493799,1.74,0.059,0.1749862033080671,0.059
Kepler-1669 d,Kepler-1669,Transit,4.72941969,0.0457,,0.57,0.0,0.06919496093948621,0.06919496093948621
HAT-P-53 b,HAT-P-53,Transit,1.9616248,,,1.093,,0.05428062108075799,0.05428062108075799
Kepler-102 b,Kepler-102,Transit,5.28695437,0.0536,,0.734,0.0,0.07128263127856523,0.07128263127856523
