pl_name,hostname,sy_dist,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_rvamp,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccen_reflink,st_mass,st_lum,discoverymethod,st_lum_solar
Kepler-1167 b,Kepler-1167,820.905,1.003933739,0.0175,3.57,1.71,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.79,-0.53589,Transit,0.2911454450563117
Kepler-1740 b,Kepler-1740,1061.77,8.172400475,0.0779,11.0,3.32321414,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.943,-0.07942,Transit,0.8328753331616009
Kepler-1581 b,Kepler-1581,493.175,6.28385491,0.06865,0.437,0.8,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.12,0.39085,Transit,2.4595179700174
Kepler-644 b,Kepler-644,1318.05,3.173917103,0.04641,10.1,3.15,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.49,0.71041,Transit,5.133457844677136
Kepler-1752 b,Kepler-1752,962.888,56.35850143,0.2698,18.7,4.54060463,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.824,-0.39819,Transit,0.39976981573435744
Kepler-280 c,Kepler-280,780.361,4.807091,0.056,4.7,2.01,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.962,-0.06437,Transit,0.8622436406961691
Kepler-1208 b,Kepler-1208,825.176,11.08507637,0.0901,5.99,2.32,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.8,-0.55349,Transit,0.27958251030917275
Kepler-263 c,Kepler-263,754.747,47.332773,0.242,6.66,2.47,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.793,-0.45614,Transit,0.34983237621557006
Kepler-1101 b,Kepler-1101,742.473,81.3151059,0.3483,6.66,2.47,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.94,-0.35135,Transit,0.44529723657964887
HD 168746 b,HD 168746,41.5681,6.404,0.07,85.8141,11.1,28.6,0.11,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.07,0.04139,Radial Velocity,1.0999931989351934
TOI-2406 b,TOI-2406,55.419,3.0766891,0.02267,15.6,2.86,23.7,0.17,0.11,-0.05,0,<a refstr=HORI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..289H/abstract target=ref>Hori et al. 2024</a>,0.166,-2.46218,Transit,0.003450007188671712
HD 18599 b,HD 18599,38.5653,4.1374354,0.048,24.1,2.6,11.3,0.34,0.07,-0.09,0,<a refstr=DESIDERA_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.158D/abstract target=ref>Desidera et al. 2023</a>,0.863,-0.42946,Transit,0.37199748181842074
Kepler-560 b,Kepler-560,109.308,18.47764449,0.0899,3.61,1.72,,0.17,0.07,-0.04,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,0.34,-1.717,Transit,0.01918668740670289
Kepler-150 d,Kepler-150,891.092,12.56093,0.104,8.2,2.79,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.956,-0.16141,Transit,0.6895884836192688
Kepler-498 b,Kepler-498,938.844,9.61375356,0.0897,9.43,3.03,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.98,0.17242,Transit,1.4873733645441127
Kepler-817 b,Kepler-817,1484.46,3.990106229,0.0493,60.2,9.03,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.03,0.08609,Transit,1.2192422395567672
Kepler-937 b,Kepler-937,1571.46,67.668827,0.3214,13.4,3.72,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.15,0.28097,Transit,1.909721335133475
